[INFO] Using run: jolly-water-235 (47h6gdg8)
cuda
Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=2, num_train_steps=1000000, learning_starts=20000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=10000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=1.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=2, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30, use_rpc=1)
RPC: True
[save_snapshot] saved /home/harsh/arjun/robust-predictable-control/checkpoints/RPC_Walker2d-v5/2025-10-16_13-25-46_RPC_Walker2d-v5_seed_2_kl_1_47h6gdg8/0.pt
Episode: 1, total numsteps: 14, return: 3.47
Episode: 2, total numsteps: 38, return: 0.4
Episode: 3, total numsteps: 49, return: -4.04
Episode: 4, total numsteps: 68, return: 8.29
Episode: 5, total numsteps: 99, return: -1.42
Episode: 6, total numsteps: 120, return: 5.83
Episode: 7, total numsteps: 152, return: 9.75
Episode: 8, total numsteps: 182, return: 4.28
Episode: 9, total numsteps: 201, return: 8.49
Episode: 10, total numsteps: 219, return: 0.74
Episode: 11, total numsteps: 257, return: 9.65
Episode: 12, total numsteps: 269, return: -0.98
Episode: 13, total numsteps: 280, return: 0.41
Episode: 14, total numsteps: 312, return: 10.69
Episode: 15, total numsteps: 327, return: -2.86
Episode: 16, total numsteps: 349, return: 1.98
Episode: 17, total numsteps: 366, return: 2.57
Episode: 18, total numsteps: 392, return: -2.01
Episode: 19, total numsteps: 405, return: 1.27
Episode: 20, total numsteps: 430, return: 3.6
Episode: 21, total numsteps: 451, return: -0.81
Episode: 22, total numsteps: 471, return: 9.64
Episode: 23, total numsteps: 482, return: 0.94
Episode: 24, total numsteps: 494, return: -1.07
Episode: 25, total numsteps: 511, return: -2.33
Episode: 26, total numsteps: 523, return: -2.67
Episode: 27, total numsteps: 537, return: -1.46
Episode: 28, total numsteps: 550, return: -1.5
Episode: 29, total numsteps: 583, return: 10.34
Episode: 30, total numsteps: 595, return: -5.3
Episode: 31, total numsteps: 607, return: -1.15
Episode: 32, total numsteps: 633, return: 10.32
Episode: 33, total numsteps: 645, return: -3.79
Episode: 34, total numsteps: 669, return: 5.98
Episode: 35, total numsteps: 688, return: -0.46
Episode: 36, total numsteps: 709, return: 3.79
Episode: 37, total numsteps: 803, return: 54.52
Episode: 38, total numsteps: 830, return: -1.16
Episode: 39, total numsteps: 848, return: -4.72
Episode: 40, total numsteps: 868, return: -5.23
Episode: 41, total numsteps: 890, return: 3.83
Episode: 42, total numsteps: 915, return: -2.6
Episode: 43, total numsteps: 929, return: -0.34
Episode: 44, total numsteps: 954, return: -0.47
Episode: 45, total numsteps: 975, return: 2.38
Episode: 46, total numsteps: 999, return: -3.94
Episode: 47, total numsteps: 1021, return: -1.52
Episode: 48, total numsteps: 1033, return: -4.37
Episode: 49, total numsteps: 1060, return: 4.68
Episode: 50, total numsteps: 1091, return: 17.79
Episode: 51, total numsteps: 1105, return: -3.05
Episode: 52, total numsteps: 1127, return: 4.7
Episode: 53, total numsteps: 1151, return: -5.47
Episode: 54, total numsteps: 1196, return: 26.25
Episode: 55, total numsteps: 1207, return: 0.02
Episode: 56, total numsteps: 1226, return: -2.33
Episode: 57, total numsteps: 1241, return: -3.0
Episode: 58, total numsteps: 1255, return: -1.18
Episode: 59, total numsteps: 1274, return: -8.8
Episode: 60, total numsteps: 1299, return: 1.8
Episode: 61, total numsteps: 1316, return: 7.73
Episode: 62, total numsteps: 1338, return: -0.27
Episode: 63, total numsteps: 1362, return: -1.13
Episode: 64, total numsteps: 1395, return: 2.94
Episode: 65, total numsteps: 1409, return: 1.73
Episode: 66, total numsteps: 1437, return: 4.48
Episode: 67, total numsteps: 1461, return: -5.1
Episode: 68, total numsteps: 1475, return: -4.93
Episode: 69, total numsteps: 1490, return: -3.04
Episode: 70, total numsteps: 1520, return: 10.61
Episode: 71, total numsteps: 1545, return: 4.16
Episode: 72, total numsteps: 1561, return: 1.93
Episode: 73, total numsteps: 1583, return: -0.68
Episode: 74, total numsteps: 1593, return: -2.63
Episode: 75, total numsteps: 1617, return: 2.73
Episode: 76, total numsteps: 1630, return: -1.71
Episode: 77, total numsteps: 1667, return: 12.27
Episode: 78, total numsteps: 1679, return: -1.17
Episode: 79, total numsteps: 1692, return: 1.15
Episode: 80, total numsteps: 1713, return: 2.67
Episode: 81, total numsteps: 1732, return: 3.23
Episode: 82, total numsteps: 1743, return: -1.96
Episode: 83, total numsteps: 1764, return: 2.07
Episode: 84, total numsteps: 1782, return: 0.45
Episode: 85, total numsteps: 1815, return: -1.63
Episode: 86, total numsteps: 1835, return: 2.74
Episode: 87, total numsteps: 1856, return: 1.85
Episode: 88, total numsteps: 1871, return: 4.55
Episode: 89, total numsteps: 1886, return: -2.46
Episode: 90, total numsteps: 1906, return: 4.61
Episode: 91, total numsteps: 1929, return: 14.36
Episode: 92, total numsteps: 1946, return: 0.22
Episode: 93, total numsteps: 1962, return: -5.28
Episode: 94, total numsteps: 1983, return: -1.09
Episode: 95, total numsteps: 1996, return: -2.37
Episode: 96, total numsteps: 2012, return: 4.26
Episode: 97, total numsteps: 2030, return: 2.95
Episode: 98, total numsteps: 2049, return: 7.39
